customer,merchant,fraud,inr_amount,txn_count_customer,is_high_amount,category_fraud_rate,txn_count_category,customer_fraud_rate,merchant_fraud_rate,txn_count_merch,categoy__'es_barsandrestaurants',categoy__'es_contents',categoy__'es_fashion',categoy__'es_food',categoy__'es_health',categoy__'es_home',categoy__'es_hotelservices',categoy__'es_hyper',categoy__'es_leisure',categoy__'es_otherservices',categoy__'es_sportsandtoys',categoy__'es_tech',categoy__'es_transportation',categoy__'es_travel',categoy__'es_wellnessandbeauty'
'C638163213','M348934600',0,5107.99,157,0,0.0,505119,0.0,0.0,199601,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C620327304','M348934600',0,2703.94,119,0,0.0,505119,0.0,0.0,166931,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C597908249','M85975013',0,2594.71,119,0,0.0,26254,0.0,0.0,15367,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
'C2016264883','M1823072687',0,2979.0,88,0,0.0,505119,0.0,0.0,107430,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1510459992','M1823072687',0,223.42,141,0,0.0,505119,0.0,0.0,246150,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1960297159','M1823072687',0,5411.85,128,0,0.0,505119,0.0,0.0,190807,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C805469502','M1823072687',0,2694.01,89,0,0.0,505119,0.0,0.0,173461,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C2014169866','M1823072687',0,1711.93,85,0,0.0,505119,0.0,0.0,105376,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1303555047','M1823072687',0,867.88,127,0,0.0,505119,0.0,0.0,195536,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C1049562739','M1823072687',0,1868.83,60,0,0.0,505119,0.0,0.0,89752,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C815186263','M1823072687',0,1208.48,132,0,0.0,505119,0.0,0.0,215910,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C969635352','M1823072687',0,374.36,96,0,0.0,505119,0.0,0.0,128629,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C2117244434','M348934600',0,3789.29,116,0,0.0,505119,0.0258620689655172,0.0,184327,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C706685788','M1823072687',0,730.85,113,0,0.0,505119,0.0088495575221238,0.0,159303,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C538394574','M1823072687',0,5438.66,87,0,0.0,505119,0.0229885057471264,0.0,226765,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
'C545527660','M348934600',0,4898.47,75,0,0.0,505119,0.0,0.0,117881,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
